_id,"name,symbol"
6935ba6ebb409f53d35d53e7,"Uganda Shilling,USh"
6935ba6ebb409f53d35d53e8,"US Dollar,$"
6935ba6ebb409f53d35d53e9,"Peso Uruguayo,$"
6935ba6ebb409f53d35d53ea,"Uzbekistan Sum,лв"
6935ba6ebb409f53d35d53eb,"Bolivar,Bs F"
6935ba6ebb409f53d35d53ec,"Dong,₫"
6935ba6ebb409f53d35d53ed,"Vatu,Vt"
6935ba6ebb409f53d35d53ee,"Tala,T"
6935ba6ebb409f53d35d53ef,"CFA Franc BEAC,Fr"
6935ba6ebb409f53d35d53f0,"East Caribbean Dollar,$"
6935ba6ebb409f53d35d53f1,"CFA Franc BCEAO,Fr"
6935ba6ebb409f53d35d53f2,"CFP Franc,Fr"
6935ba6ebb409f53d35d53f3,"Yemeni Rial,﷼"
6935ba6ebb409f53d35d53f4,"Rand,R"
6935ba6ebb409f53d35d53f5,"Zambian Kwacha,ZK"
6935ba6ebb409f53d35d53f6,"Zimbabwe Dollar,$"
