_id,Institution,GoogleMaps
6930a7d8f59660bdbf649b2c,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,http://maps.google.pt/maps?z=20&t=k&q=loc:38.77607+-9.097442
6930a7d8f59660bdbf649b2d,Universidade do Algarve - Escola Superior de Saúde,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04394+-7.972298
6930a7d8f59660bdbf649b2e,Escola Superior de Saúde Egas Moniz,http://maps.google.pt/maps?z=20&t=k&q=loc:38.6669+-9.200091
6930a7d8f59660bdbf649b2f,Escola Superior de Saúde da Fundação «Fernando Pessoa»,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17316+-8.608274
6930a7d8f59660bdbf649b30,Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
6930a7d8f59660bdbf649b31,Escola Universitária Vasco da Gama,http://maps.google.pt/maps?z=20&t=k&q=loc:40.23515+-8.415624
6930a7d8f59660bdbf649b32,Universidade do Algarve - Escola Superior de Educação e Comunicação,http://maps.google.pt/maps?z=20&t=k&q=loc:37.02903+-7.922722
6930a7d8f59660bdbf649b33,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,http://maps.google.pt/maps?z=20&t=k&q=loc:40.20711+-8.436049
6930a7d8f59660bdbf649b34,Universidade de Lisboa - Faculdade de Motricidade Humana,http://maps.google.pt/maps?z=20&t=k&q=loc:38.70524+-9.25235
6930a7d8f59660bdbf649b35,Universidade do Porto - Faculdade de Desporto,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17864+-8.600067
6930a7d8f59660bdbf649b36,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,http://maps.google.pt/maps?z=20&t=k&q=loc:40.21036+-8.427611
6930a7d8f59660bdbf649b37,Universidade de Évora - Escola de Ciências Sociais,http://maps.google.pt/maps?z=20&t=k&q=loc:38.57381+-7.906329
6930a7d8f59660bdbf649b38,Universidade da Madeira - Faculdade de Ciências Sociais,http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251
6930a7d8f59660bdbf649b39,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17554+-8.604519
6930a7d8f59660bdbf649b3a,Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão,http://maps.google.pt/maps?z=20&t=k&q=loc:41.36677+-8.194765
6930a7d8f59660bdbf649b3b,Universidade de Lisboa - Faculdade de Farmácia,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74955+-9.157356
