Master Name,University,Location,Duration,Tuition Fee,About
"Data Science and Advanced Analytics, with a specialization in Data Science",NOVA IMS,"Lisbon, Portugal",2 years,3100 EUR / year,"The Master's in Data Science and Advanced Analytics, with a specialization in Data Science at Universidade Nova de Lisboa is aimed at technically oriented people with solid scientific background, who want to strengthen and deepen their skills on the most used paradigms and environments for software development, and apply them to solve complex real-world problems involving vast amounts of data."
Digital Marketing and Analytics,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year,"The Master's Program in Data-Driven Marketing, with a specialization in Digital Marketing and Analytics, at Universidade Nova de Lisboa is aimed at managers, experts and other professionals who want to obtain skills in Digital Marketing and Web Analytics, using the most advanced methodologies for collecting, analyzing and processing data to support decision making in Web Marketing."
Hospitality and Tourism Management,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,"The MSc in Hospitality and Tourism Management from ISCTE - University Institute of Lisbon is positioned as an option for further studies for all graduates in management, tourism, and related fields."
Marketing Research and CRM,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year,"The Master's Program in Data-Driven Marketing, with a specialization in Marketing Research and CRM, at Universidade Nova de Lisboa, is for managers, experts and other marketing professionals, who wish to obtain and deepen their skills in Marketing Research and CRM, using the most advanced methods of collection, analysis and treatment of information."
Logistics and Supply Chain Management - Management of Services and Technology,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year,"The Master in Management of Services and Technology (MMST) from ISCTE - University Institute of Lisbon is a unique advanced educational programme in Technology and Operations Management (TOM) that focuses on both industry and service domains. This programme aims at developing modern, updated, proactive, accountable and socially responsible managers, specifically focused on business operations."
International Management,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,7000 EUR / year,The MSc in International Management at ISCTE - University Institute of Lisbon  is one of the leading business schools in Portugal whose faculty members and research continue to appear at the forefront of investigation topics in International Management.
Data Science for Marketing,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year,"The Master's program in Data-Driven Marketing, with a specialization in Data Science for Marketing, at Universidade Nova de Lisboa aims to fill a gap in the postgraduate training of marketing professionals who need to gain new skills to be able to actively participate in the development and application of analytical marketing models. "
Data-Driven Marketing,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year,"The Master's Degree Program in Data-Driven Marketing from NOVA IMS at Universidade Nova de Lisboa aims to train marketing specialists and managers with analytical tools applied in Marketing, to support decision making in this area."
Business Administration,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5750 EUR / year,"The MSc in Business Administration at ISCTE - University Institute of Lisbon is a full-time programme designed for students with a bachelor in areas that are not management-related,  that delivers the contents of an MBA to students with little or no work experience whilst also giving the higher academic title."
Information Systems Management,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year,"The Master's Degree Program in Information Management, with a specialization in Information Systems Management, from Universidade Nova de Lisboa is aimed at those who have roles in Information Systems (IS), namely managers and experts in the coordination and development of IS projects, IT auditing, quality control and strategic management of IS."
Marketing Intelligence,NOVA IMS,"Lisbon, Portugal",2 years,3000 EUR / year,"The Master Program in Data-Driven Marketing, with the specialization in Marketing Intelligence, at Universidade Nova de Lisboa, trains technical and management staff to lead and guide the collection, organization, analysis, exploration, and dissemination of marketing information in organizations."
Digital Transformation,NOVA IMS,"Lisbon, Portugal",1½ year,4000 EUR / year,"The Master's in Information Management, specializing in Digital Transformation from Universidade Nova de Lisboa recognizes the significance of digital transformation in today's business world."
Finance,ISCTE Business School | University Institute of Lisbon,"Lisbon, Portugal",2 years,5950 EUR / year,"The MSc in Finance at ISCTE - University Institute of Lisbon is a full-time, two-year programme (one year of classes and one year for the dissertation) that provides a highly advanced qualification in the finance field. "
Finance,Catholic University of Portugal,"Lisbon, Portugal",1 year,12 450 EUR / year,"The Master in Finance (MIF) offered by the Catholic University of Portugal is designed for experienced professionals who want a high-level career. If you work in the Finance area and wish to advance in your career or change area by deepening your financial knowledge, then the Master in Finance is the program for you."
KinoEyes -The European Film Masters,Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,7500 EUR / year,KinoEyes -The European Film Masters from Lusophone University of Humanities and Technologies seeks to promote new teaching and learning opportunities for learners and teachers in the areas of fiction film making and creativity studies.  
Teaching English and Foreign Languages,University of Porto,"Porto, Portugal",2 years,697 EUR / year,"The Teaching English and Foreign Languages programme of the University of Porto is a second cycle which seeks the acquisition of the necessary pedagogical and scientific skills for teaching in 1st, 2nd and 3rd cycles of basic education and in secondary education, bearing in mind the transformations in society, education and in the technological and scientific evolution."
Bioengineering and Nanosystems,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"The Master in Bioengineering and Nanosystems from Instituto Superior Técnico is intended for graduates in areas related to Bioengineering, namely Biomedical Eng., Biological Eng., Electrical and Computer Eng., Electronics, Chemical Eng. Computing Eng., Engineering Physics, Materials and Mechanical Eng., or Biochemistry and related areas."
Mining and Geological Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Master Programme in Mining and Geological Engineering from Instituto Superior Técnico is aimed at graduates in Engineering, namely with curricular paths that include Geology, Mining, Civil, Environment and related areas."
Joint Master Programme in Tribology of Surfaces and Interfaces,University of Coimbra,"Coimbra, Portugal",2 years,4000 EUR / year,Joint Master Programme in Tribology of Surfaces and Interfaces from University of Coimbra introduces you to the science and technology of interacting surfaces in relative motion and of related subjects and practices.
"Child, Family and Inheritance Law",University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Child, Family and Inheritance Law Master degree at University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas"
Water and Coastal Management (Erasmus Mundus),University of Algarve,"Faro, Portugal",2 years,4000 EUR / year,"The Water and Coastal Management (Erasmus Mundus) programme offered by the University of Algarve objective is to train managers and scientists for Water and Coastal Zone Risk Management, with a solid knowledge of environmental and legal instruments."
Law and Informatics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Law and Informatics Master degree from University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas. "
Statistics,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"We offer a master degree in Statics at University of Minho. Statistics is, nowadays, crucial for the development of the society as regards a large variety of problems, such as the struggle against epidemic diseases, the implementation of new treatment drugs, studies in social sciences, the development of economic models and the dissemination of information in social communication. "
International Master in Mining Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,7000 EUR / year,"The International Master in Mining Engineering is a new Joint Degree Programme between Instituto Superior Técnico (University of Lisbon) and China University of Mining and Technology (Beijing, China)."
Law in a Digital Economy,Catholic University of Portugal,"Lisbon, Portugal",1 year,14 000 EUR / year,"The LL.M. in Law in a Digital Economy at the Catholic University of Portugal is a full-time programme lasting one year. This course is designed to equip students with essential legal knowledge in emerging technologies. It offers a comprehensive understanding of the digital economy's legal landscape, preparing graduates for modern legal challenges."
Biochemistry for Health,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1100 EUR / year,The Master Programme in Biochemistry for Health from Universidade Nova de Lisboa provides a critical and analytical perspective of Human Health from a Biochemical point of view. 
Electrical and Computer Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Electrical and Computer Engineering programme from Instituto Superior Técnico is intended for graduates in engineering-related areas, namely those with a background in Electronics, Telecommunications, Robotics, Energy, Control and related fields."
Translation and Multilingual Communication,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,We offer a master degree in Translation and Multilingual Communication at University of Minho. This Cycle of Studies meets the training needs of graduates in Applied Languages or of any other discipline with an interest in the professions of the languages. 
Information Systems,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"This Information Systems degree at University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas."
