master,university,Location,Duration,Tuition Fee,about
Ciências da Terra e da Atmosfera,UÉvora – Universidade de Évora,,,,"Apresentação do Curso
Este curso de Mestrado fornece conhecimentos avançados em duas áreas de especialização (ramos), sobre os subsistemas Terra e Atmosfera e sobre as tecnologias e metodologias de observação, monitorização e modelação destes subsistemas, com particular preocupação por várias vertentes ambientais. O curso pretende colmatar uma lacuna nas ofertas de 2º ciclo nesta área, disponíveis nas Universidades Portuguesas, articulando de forma integrada os conhecimentos e aplicações referentes ao Globo e Atmosfera. As duas áreas de especialização apresentam algumas disciplinas comuns, a fim de se fornecerem os conhecimentos e competências comuns necessários às diversas áreas das Ciências da Terra, sendo a especificidade de cada um dos ramos assegurada por disciplinas da especialidade. O curso integra-se nas atividades de investigação desenvolvidas no Instituto de Ciências da Terra (ICT), uma Unidade de I&D classificada pela FCT com Muito Bom. O ICT tem infraestruturas únicas nas áreas de especialização do curso: rede de estações meteorológicas na região, observatório dedicado à monitorização do ambiente atmosférico, laboratórios de instrumentação e ótica de precisão para desenvolvimento e calibração de instrumentação ambiental, laboratório de geoquímica ambiental equipado para preparação e análise de metais, nutrientes e outros elementos químicos, em diversas matrizes geológicas, instrumentação variada de geofísica, incluindo várias estações sismológicas.
  Saídas Profissionais
Este mestrado fornece formação avançada num Centro de Investigação de reconhecida excelência internacional (Instituto de Ciências da Terra), onde o aluno tem desde logo oportunidade de tomar contacto e ser envolvido na investigação levada a cabo nesta unidade I&D. Como principais saídas profissionais podem enumerar-se: Instituto Português do Mar e da Atmosfera (integra o anterior Instituto de Meteorologia); Laboratório Nacional de Engenharia Civil; Laboratório Nacional de Energia e Geologia; Institutos, serviços e empresas ligados ao ambiente, recursos naturais, recuperação e reabilitação de sistemas terrestres e aquáticos contaminados; Instituições e Empresas nas áreas de observação da Terra e monitorização ambiental (hardware e software); Consultadoria nas áreas de impacto ambiental e prospeção geofísica; Profissional liberal na área da prestação e análise de serviços técnicos; Ensino Secundário, Superior e Carreira de Investigação; Continuação da formação para um terceiro ciclo."
Ciências Jurídico-Criminais,Universidade Lusófona do Porto,,,,"Apresentação do Curso
O presente mestrado visa a especialização do mestrando em ciências jurídico criminais, tendo presente não apenas o Direito Penal em sentido estrito, mas também o Direito Constitucional, o Direito Penal Internacional e o Europeu. Destaque-se, ainda, a formação em Direitos Humanos, bem como a vertente processual do Direito Penal, a específica tarefa de compreensão do sistema punitivo português e o Direito Contraordenacional.
  Objetivos
O ciclo de estudos visa assegurar ao estudante uma especialização de natureza académica em ciências jurídico-criminais, experiência essa que será adquirida com recurso à atividade de investigação, de inovação e de aprofundamento de competências profissionais, considerando a relevância académica e social desta área normativa específica, tanto em termos teóricas, como em termos práticos. Assim, oferecendo aos estudantes uma estrutura curricular exigente e atualizada, mas também caracterizada por alguma rigidez (em 8 UCs, 4 por cada semestre, o estudante apenas tem uma UC de opção, que escolhe entre duas, no 1.º Semestre), o primeiro objetivo deste CE é formar profissionais altamente especializados em matéria de direito penal em sentido estrito e de outras disciplinas pertencentes à ciência do direito penal total, entendida esta em sentido lato e por isso mesmo abrangendo outros direitos sancionatórios que não apenas o penal, como seja, por exemplo, o direito das contraordenações.
  Saídas Profissionais
A formação adquirida fornece as competências e os conhecimentos necessários para uma entrada com sucesso no mercado de trabalho, em diferentes áreas de atividade, como jurista, jurisconsulto. Proporciona um elevado grau de formação aos estudantes que pretendem ingressar na Ordem dos Advogados e no Centro de Estudos Judiciários."
Investigação Biomédica,NOVA Medical School – Escola Médica da Universidade NOVA de Lisboa,,,,"Apresentação do curso
O curso fornece as competências nucleares e os conhecimentos que permitam identificar problemas cientificamente relevantes nas áreas da biomedicina e ciências da saúde e traduzir esses problemas em hipóteses experimentalmente demonstráveis. Os estudantes devem ainda saber avaliar, apresentar, discutir e comunicar os resultados do seu trabalho científico identificando claramente a sua relevância para o avanço do conhecimento e/ou das tecnologias. O programa do mestrado é flexível e adota um modelo de cursos avançados disponibilizados anualmente a partir de um leque diversificado de ofertas. O NBR é um curso internacional inequivocamente centrado no estudante e baseado na investigação.
A língua oficial do curso é o Inglês."
Ciências da Educação – Especialização em Educação e Desenvolvimento Comunitário,Politécnico de Leiria – Polytechnic University of Leiria,,,,"Objetivos
O Mestrado em Ciências da Educação, área de especialização em Educação e Desenvolvimento Comunitário, tem com objectivos, desenvolver competências teóricas e operacionais que permitam uma reflexão e intervenção adequadas a contextos educacionais diversificados, nomeadamente em educação formal e não formal, bem como em contextos escolares e não escolares.
  Valor Anual
Saiba mais aqui."
Gestão do Património Cultural e Desenvolvimento Local,Politécnico de Viseu,,,,"Apresentação do curso
O presente curso de Mestrado tem como objetivo facultar aos estudantes conhecimentos e competências a nível teórico, prático e metodológico em áreas de atividade onde o ócio cultural, o património e o desenvolvimento sustentável constituam os temas centrais. Em simultâneo, pretende-se ainda garantir:
Aquisição de conhecimento científico seguro sobre as potencialidades patrimoniais e culturais locais;
Dotar o aluno de uma sólida formação na área da gestão e valorização do Património Histórico e Cultural com base em unidades curriculares estruturantes;
Desenvolver o conhecimento, com diferentes níveis de aprofundamento, das metodologias e técnicas de inventariação, preservação, valorização e gestão das várias tipologias de Património Cultural;
Formar especialistas capazes de gerir o Património Histórico e Cultural;
Desenvolver a investigação teórica e a sua aplicação prática na promoção do desenvolvimento local através da área do Património Histórico e Cultural.
retirado da candidatura A3ES
  Saídas Profissionais
Este mestrado pretende preparar os alunos para o desempenho de funções na gestão de património cultural, com especial relevância no desenvolvimento local, políticas e práticas de gestão para o desenvolvimento sustentado.
Especialmente dirigido a profissionais do setor do turismo, da administração pública e gestores de acervos históricos e museológicos, que pretendam obter uma formação pós-graduada e especializada na área da Gestão e Administração focada no património e no desenvolvimento dos territórios e dos seus habitantes."
Psicologia Clínica e da Saúde,Instituto Piaget,,,,"Apresentação do Curso
O 2.º ciclo de estudos em Psicologia Clínica e da Saúde tem como objetivo principal providenciar um conjunto de instrumentos teóricos, práticos e metodológicos, que permita desenvolver competências profissionais ao nível da avaliação e diagnóstico, do acompanhamento e intervenção psicológica nos diferentes contextos clínicos.
  Objetivos
Dotar o futuro psicólogo de um conjunto de instrumentos teóricos, práticos e metodológicos, para que desenvolva competências profissionais ao nível da avaliação e diagnóstico, do acompanhamento e intervenção psicológica nos diferentes contextos clínicos.
Saídas Profissionais
Exercício profissional de Psicologia Clínica e da Saúde de acordo com as normas da Ordem dos Psicólogos Portugueses."
Nutrição Humana e Metabolismo,NOVA Medical School – Escola Médica da Universidade NOVA de Lisboa,,,,"Apresentação do curso
O Mestrado em Nutrição Humana e Metabolismo cruza a nutrição e alimentação humanas com o metabolismo e tem como objetivo a formação de quadros altamente qualificados para analisar de forma sistemática e integrada os principais problemas de saúde relacionados com os estilos de vida inadequados, sobretudo alimentares.
O mestrado está centrado em estratégias para promover estilos de vida saudáveis numa perspetiva de Lifestyle Medicine, prevenir doenças, sobretudo as crónicas não transmissíveis, prevenir a malformação metabólica como consequência de exposição a fatores alimentares durante a vida in utero, e um envelhecimento ativo e saudável.
Este mestrado prepara os estudantes para serem capazes de diagnóstico e intervenção, ou seja, para a identificação das causas e consequências associadas a hábitos alimentares inadequados, reconhecendo os mecanismos moleculares da doença envolvidos. Prepara os estudantes não só para intervenções baseadas na evidência científica, como para serem capazes de avaliar a eficácia dessas intervenções e capacitando-os de ferramentas de modo a serem geradores da evidência científica e de guidelines.
Os estudantes deste mestrado ficam preparados para aceder a programas doutorais ou para a progressão na carreira quer no setor público ou privado."
Ciências da Educação – Gestão Escolar,Politécnico de Leiria – Polytechnic University of Leiria,,,,"Objetivos
O ciclo de estudos visa dotar os estudantes de conhecimentos e competências adequadas ao exercício de funções de direção e de gestão educativa, ao nível das escolas e agrupamentos de escolas. Deste modo, pretende-se que os estudantes desenvolvam aprendizagens que lhes permitam mobilizar saberes e competências com incidência nos seguintes domínios de atuação:
Intervenção:
Direção, coordenação, orientação e acompanhamento pedagógico de projetos, planos, programas e atividades das escolas.
Conceção, gestão e avaliação:
De projetos educativos e curriculares, planos de atividades, processos e resultados e educativos.
De estratégias com vista à melhoria da qualidade educativa do serviço prestado pela escola.
Consultoria e assessoria:
Apoio técnico e científico aos órgãos de direção executiva e de coordenação e orientação pedagógica das escolas no planeamento, desenvolvimento e avaliação dos seus projetos e atividades.
Análise crítica:
Análise e interpretação da escola, dos seus contextos e dos seus dispositivos de educação/formação à luz dos contributos teóricos e necessidades do meio envolvente.
Investigação:
Capacitação para escolhas metodológicas ajustadas a projetos de investigação e produção de conhecimento no âmbito do ciclo de estudos.
  Valor Anual
Saiba mais aqui."
Psicologia Social e das Organizações,Instituto Piaget,,,,"Apresentação do Curso
Este curso visa:
Evidenciar e desenvolver os conceitos fundamentais na gestão de recursos humanos e em processos sociais e organizacionais;
Desenvolver os conhecimentos complementares e instrumentais que permitam o desempenho das atividades de psicólogo social e das organizações em diferentes contextos de intervenção;
Permitir a experiência da prática da psicologia social e das organizações em diferentes contextos;
Consolidar as competências relacionadas com a investigação através da elaboração, desenvolvimento e execução de projetos de investigação.
  Saídas Profissionais
Exercício profissional de Psicologia Social e das Organizações de acordo com as normas da Ordem dos Psicólogos Portugueses."
Ecologia Aplicada,Faculdade de Ciências e Tecnologia da Universidade de Coimbra,,,,"Objetivos do Curso
Os objetivos do IMAE são promover uma aprendizagem interdisciplinar de nível académico de excelência, dentro de um contexto extensivamente internacional para formar graduados com um amplo portfólio de conhecimentos conceptuais e competências práticas. O objetivo do IMAE é formar especialistas capazes de realizar uma variedade de projetos ecológicos e ambientais em todo o mundo, e está configurado para atrair estudantes de todo o mundo. Para ajudá-los a desenvolver uma perspetiva global, os parceiros têm uma rede internacional que envolve vários países, inclusive um país recém-industrializado e um país em desenvolvimento. As instituições associadas e parceiras possuem focos e competências disciplinares complementares no campo da ecologia aplicada, o que garante o sucesso dos graduados, fornecendo-lhes um amplo e abrangente conhecimento.
  Saídas Profissionais
Após frequentarem o IMAE, os alunos estarão em condições para seguirem duas orientações profissionais distintas:
Continuação da sua progressão científica e académica através do ingresso num Programa de Doutoramento;
Ingressarem no mercado de trabalho como técnicos especializados em Ecologia Aplicada, podendo desenvolver e coordenar projetos nas áreas das Ciências Biológicas, Ciências ambientais e áreas afins.
  Objetivos da Aprendizagem e Competências a Desenvolver
No final do programa de dois anos, os alunos irão:
Adquirir conhecimentos para avaliar e aplicar conceitos de gestão complexos necessários para resolver os desafios ambientais atuais e futuros;
Obter conhecimento em ciências naturais e ambientais e sua aplicação prática;
Obter conhecimento de métodos na análise de sistemas, modelação, sistemas de informação geográfica (SIG) e gestão de dados;
Treinar o uso de bio-indicadores e abordagens de bio-monitorização para avaliar a qualidade ambiental;
Adquirir capacidades de gestão e interpretação de dados avançados a partir de estudos de avaliação de
qualidade ambiental;
Aprender a contextualizar a gestão adaptativa, incluindo aspetos económicos e sociais;
Desenvolver competências de colaboração através do trabalho em equipas internacionais e interdisciplinares.
Os alunos IMAE serão formados para a aplicação cientificamente rigorosa de princípios ecológicos, para trabalhar ou liderar equipas interdisciplinares, para proporem novas soluções utilizando métodos ecológicos, e para adquirirem competências-chave na área de ecologia aplicada."
Direção e Gestão Desportiva,UÉvora – Universidade de Évora,,,,"Apresentação do Curso
Face à crescente importância económica e social do fenómeno desportivo em Portugal, na Europa e no espaço Ibero-americano, associada ao crescimento da procura deste segmento de mercado nos últimos anos, importa responder à necessidade de formação especializada de excelência em Gestão do Desporto no 2º ciclo aos licenciados em diversos domínios científicos, bem como a prossecução dos estudos de pós-graduação aos profissionais no ativo. O Mestrado em Direção e Gestão Desportiva pretende: a) Desenvolver os conceitos, as técnicas e os métodos avançados, provenientes do interface entre as Ciências do Desporto e outras Ciências, através de um plano curricular multidisciplinar e contextualizado ao universo desportivo; b) Qualificar profissionais de nível superior com conhecimentos aprofundados na área da Gestão do Desporto, capacitados para atuarem no mercado desportivo de forma competitiva, empreendedora, responsável e ética; c) Dotar os estudantes de novas perspetivas e instrumentos de intervenção para atuarem em organismos desportivos ou entidades relacionadas, no sentido de exercerem a atividade profissional com elevada competência e modelos inovadores. A formação em Gestão do Desporto tem apresentado um aumento do número de oportunidades de emprego, desde a vertente do espetáculo desportivo enquanto negócio de dimensão global até à vertente do exercício físico vocacionado para a saúde da população de âmbito local.
  Saídas Profissionais
As competências adquiridas no curso possibilitam um enquadramento profissional em diferentes instituições e níveis de intervenção em Portugal e no estrangeiro, com reconhecimento noutros países do espaço europeu e ibero-americano. Estes diplomados encontram saídas profissionais na coordenação de atividades, eventos, instalações ou produtos desportivos, bem como exercendo funções de Diretor, Gestor, Administrador, Assessor, Consultor, Auditor, Docente, Investigador, Empresário, Técnico Superior, entre outras, no Setor Público (câmaras municipais, empresas municipais, administração pública desportiva, estabelecimentos de ensino), no Setor Privado Associativo (federações desportivas nacionais, associações regionais de modalidades, clubes desportivos, entidades de desporto para deficientes), no Setor Privado Lucrativo (health clubs/wellness centres, campos de golfe, SADs, empresas de eventos, empresas de lazer e turismo desportivo, órgãos de comunicação social, entidades formadoras) e em Organismos Internacionais."
Microbiologia Médica,NOVA Medical School – Escola Médica da Universidade NOVA de Lisboa,,,,"Apresentação do curso
Mestrado em associação entre quatro Instituições da Universidade NOVA: IHMT, FCT, ITQB e FCM|NMS
O Mestrado em Microbiologia Médica tem como objetivo geral formar especialistas, numa perspetiva global e multidisciplinar, habilitados com sólida e integrada formação teórica e prática na área da Microbiologia, com capacidades na aplicação das tecnologias de diagnóstico laboratorial mais avançadas, de investigação microbiológica e de controlo e certificação de qualidade de laboratórios de Microbiologia.
  Saídas profissionais
A formação avançada em Microbiologia Médica permitirá o acesso a um desenvolvimento científico-tecnológico correspondente ao 3.º ciclo (Doutoramento). Pode, igualmente, facultar o acesso a áreas de investigação e desenvolvimento (I&D) em sectores de saúde pública nacional ou europeia nomeadamente em:
Centros médicos e hospitalares.
Laboratórios clínicos e veterinários.
Saúde pública.
Laboratórios de investigação nas áreas da Microbiologia."
Direito Judiciário,UE – Universidade Europeia,,,,"Apresentação do Curso
O Mestrado em Direito Judiciário pretende formar mestres que conheçam o direito vigente aplicado e preparados para criar soluções adaptadas às novas realidades antropológicas, sociais, judiciais e tecnológicas. Fomentar o desenvolvimento de investigação jurídica de qualidade, garantindo a produção de conhecimento que tenha um caráter interdisciplinar e de juridicidade aplicada, regendo-se por metodologias robustas e fortes princípios éticos.
  Saídas Profissionais
Profissões Judiciárias (Advogados, Procuradores, Juizes, Notários, Conservadores, Investigadores da Polícia Criminal, Diplomatas)."
Comunicação Acessível,Politécnico de Leiria – Polytechnic University of Leiria,,,,"Este 2.º ciclo de estudos propõe-se formar especialistas em comunicação acessível, com vista ao desenvolvimento das competências teóricas e operacionais necessárias a uma inserção no mercado de trabalho nacional e internacional. A comunicação acessível é abordada através de vários olhares e em vários contextos para que se atinja uma perspetiva holística do fenómeno. Esta abordagem à comunicação extravasa os domínios científicos predominantes em que este Mestrado se inscreve. Num olhar integrado, centrado no primado da comunicação mas visto através de outros domínios como os das Ciências Sociais e do Comportamento, Saúde, Serviços Sociais, Serviços Pessoais, Ciências da Educação, Artes, Humanidades, Engenharias e Técnicas afins e Arquitetura e Construção, entre outros, compreender-se-ão as barreiras e estímulos ambientais, sociais, estruturais e atitudinais existentes e abordar-se-ão estratégias de comunicação acessível a todos.
Podem seguir a atividade do mestrado na página do Facebook em: https://www.facebook.com/mcaipl/ 
Objetivos
Este Mestrado tem como objetivos específicos de aprendizagem:
Adquirir conhecimento alargado dos diferentes perfis de pessoas com necessidades específicas;
Dominar as principais teorias da comunicação, mediação e acessibilidade;
Obter um conhecimento profundo e sistematizado de técnicas de produção e de receção de comunicação mediada;
Conhecer as principais ferramentas existentes para a criação, oferta e receção de serviços de comunicação acessível;
Dominar as principais técnicas de criação/produção de conteúdos/produtos acessíveis;
Conhecer as especificidades dos diversos contextos em que se requerem serviços de mediação e de acessibilidade especializados;
Despertar uma consciência das limitações e desafios que advêm do trabalho com públicos com necessidades específicas;
Desenvolver uma sensibilidade para as exigências impostas a todos os agentes envolvidos na criação de condições de acesso em diferentes contextos socioculturais;
Obter um conhecimento genérico sobre as dinâmicas do mercado de serviços de comunicação acessível.
  Valor Anual
Saiba mais aqui."
Sistemas e Tecnologias de Informação para as Organizações,Politécnico de Viseu,,,,"Apresentação do Curso
O curso de Mestrado Profissionalizante em Sistemas e Tecnologias de Informação para as Organizações tem por objetivo dar uma formação avançada nos domínios de conhecimento (designadamente Sistemas de Informação e Redes de Computadores) das Tecnologias de Informação e Comunicação. A referida formação centrar-se-á nos domínios considerados relevantes pelas diversas entidades nacionais e internacionais.
  Saídas Profissionais
O curso de Mestrado em Sistemas e Tecnologias de Informação para as Organizações (MSTIO) propõe-se a formar técnicos qualificados de nível superior, especialmente com capacidade para:
Proceder à definição de Projetos Estratégicos de desenvolvimento de Sistemas de Informação
Elaborar modelos avançados de Sistemas de Informação
Definir, configurar e manter sistemas avançados de Bases de Dados
Armazenar e tratar informação para Suporte à Decisão
Desenvolver aplicações informáticas em dispositivos de terceira geração
Aplicar novas metodologias de programação
Conceber, instalar e configurar redes de dados de alto débito
Definir, instalar e configurar sistemas e serviços de suporte a novas Tecnologias de Informação
Conceber e desenvolver Sistemas Inteligentes
Definir e aplicar políticas de Segurança de Sistemas
  Valor Anual
Estudante Internacional: 1600€"
Finanças Empresariais,Politécnico de Viseu,,,,"Apresentação do Curso
O curso de Mestrado em Finanças Empresariais tem como principal finalidade dotar o aluno de conhecimentos aprofundados e atualizados, quer ao nível teórico, quer ao nível prático na área das Finanças Empresariais, fornecendo uma formação abrangente em várias áreas. A estrutura curricular do Curso de Mestrado organiza-se num conjunto de competências, designadamente nas especialidades das Finanças Empresarias, Financial Reporting, Fusões, Aquisições e Reestruturação de Empresas, Gestão Fiscal, Estratégia e Simulação de Gestão, Mercados e Investimentos Financeiros, Avaliação de Investimentos Reais, Finanças Internacionais bem como de Técnicas de Análise de Dados.
  Informação Importante: As candidaturas para este curso terminaram a 12 de janeiro de 2018. As aulas irão ter início a 20 de fevereiro.
As próximas candidaturas só abrirão em dezembro de 2018!
    Objetivos
A organização do plano de estudos proposto tem como ponto de partida os planos de estudo das licenciaturas nas áreas de Economia, Gestão de Empresas e de Contabilidade. Pretende-se, por um lado, retomar conhecimentos adquiridos anteriormente e, aprofundá-los e, por outro, alargar o campo de formação a domínios que não foram abordados nas licenciaturas.
A estrutura do curso, para além de atender à necessidade de tornar mais extenso o corpo teórico dominado pelos alunos, pretende dar resposta às novas interrogações que a experiência profissional vai colocando a cada um. Daí tornar-se importante avançar para um nível de especialização que permita a quem iniciou uma vida ativa ter mais respostas e mais dirigidas para determinada área de atuação, nomeadamente no domínio das finanças empresariais.
  Saídas Profissionais
A formação ministrada neste Programa habilitará os Estudantes para uma carreira profissional em empresas dos mais variados setores.
As ferramentas adquiridas durante o Curso permitirão uma fácil integração no universo empresarial.
São fornecidas ferramentas que tanto permitem aos Estudantes a criação e gestão da sua própria empresa como assumir responsabilidades de gestão nas organizações interagindo com outros atores em processos de decisão.
Os  escritórios de contabilidade e de assessoria técnica são também saídas profissionais a considerar pelos Estudantes deste Mestrado."
Saúde e Intervenção Comunitária,Instituto Piaget,,,,"Apresentação do Curso
O curso está delineado para a formação especializada em Intervenção Comunitária, a partir das áreas das Ciências da Saúde, Ciências Sociais e Ciências da Educação. Pretende-se
Contribuir para a análise crítica e sistémica das problemáticas das comunidades, em contexto nacional e internacional;
Promover nos profissionais das áreas da saúde, social e educação, competências que concorram para a criação de equipas multidisciplinares e transdisciplinares aquando da intervenção nas comunidades;
Criar oportunidades de investigação em Intervenção Comunitária, concretamente através da produção científica a ser conseguida entre o Ciclo de Estudos, a RECI (Research in Education and Community Intervention) e a APDES (Agência Piaget para o Desenvolvimento);
Contribuir para a incubação e implantação de projetos de diagnóstico e intervenção na comunidade, em rede com as instituições afins;
Cooperar na criação de uma cultura centrada no desenvolvimento e bem-estar das comunidades, em função dos contextos, assim como das oportunidades locais."
Antropologia Forense,Faculdade de Ciências e Tecnologia da Universidade de Coimbra,,,,"Objetivos do Curso
O Mestrado em Antropologia Forense tem como objetivo oferecer uma formação especializada, inter e multidisciplinar, a um nível avançado em diferentes áreas da Antropologia Forense, nomeadamente: Osteologia Humana, Tafonomia Forense, estimativa dos parâmetros do Perfil Biológico, processo de Identificação, análise dentária, análise de traumatismos, Antropologia de Campo, e a sua interação com outras disciplinas forenses e a Investigação Criminal. Pretende-se estimular a apreciação crítica da literatura científica de modo a desenvolver a confiança necessária para trabalho autónoma, dentro e fora da ciência. Pretende-se que o discente adquira uma série de competências que o ajude na carreira futura.
Pretende-se que os estudantes adquiram:
Competências instrumentais, e.g., competências em: análise e síntese; organização e planificação; comunicação oral e escrita; utilização de ferramentas informáticas no âmbito do estudo; gestão da informação, capacidade de decisão e ainda resolução de problemas.
Competências pessoais e interpessoais, e.g., competências em: trabalho de grupo e em equipas interdisciplinares; trabalho num contexto internacional; raciocínio crítico e entendimento da linguagem de especialistas.
Competências sistémicas, e.g., competências em: aprendizagem autónoma; investigação; adaptabilidade a novas situações; aplicação prática dos conhecimentos teóricos; planeamento e gestão; autocrítica e auto-avaliação. Pretende-se ainda estimular a criatividade, liderança, espírito de iniciativa e empreendedorismo, preocupação com o rigor e a qualidade.
A operacionalização dos objetivos gerais deste Mestrado será concretizada em cada unidade curricular de forma específica, através da realização de diferentes tarefas (de natureza prática e/ou teórica) no respetivo âmbito. A forma e qualidade com que os estudantes realizam as diferentes tarefas traduzem o seu grau de cumprimento e são sujeitas a avaliação.
  Saídas Profissionais
Técnicos de Antropologia Forense; Peritos; integração em equipas internacionais de desastres em massa e crimes contra a humanidade; ensino; consultadoria; escavação de restos humanos.
  Objetivos da Aprendizagem e Competências a Desenvolver
Este curso tem como objetivo oferecer formação avançada em problemáticas ligadas à Antropologia Forense, destacando-se, neste contexto:
Compreender a importância do conhecimento da história da disciplina e suas atribuições;
Conseguir resolver um caso de rotina de Antropologia forense;
Conhecer e identificar os ossos do esqueleto humano; Conseguir proceder a uma identificação com base em restos humanos;
Ser capaz de fazer uma avaliação da causa e da circunstância da morte;
Ser capaz de participar na escavação e exumação de restos humanos e estimar o tempo decorrido desde a morte;
Entender o enquadramento da Antropologia dentro das ciências forenses;
Discutir artigos científicos;
Saber comunicar, por escrito e oralmente, avanços recentes da disciplina;
Formular hipóteses científicas e testá-las."
Engenharia Agronómica,UÉvora – Universidade de Évora,,,,"Apresentação do Curso
Esta formação complementa as formações agronómicas e afins de 1º Ciclo, introduzindo matérias mais ligadas à Engenharia aplicada às Ciências Agrárias, como a Hidráulica Agrícola e as Construções Rurais, e aprofundando matérias mais agronómicas nas áreas da Horto-fruticultura, Sanidade Vegetal e Biotecnologia. O aluno ficará bem preparado para compreender os problemas tecnológicos e ambientais que se apresentam à modernização da Agricultura, sendo capaz de estudar, projetar, promover e dirigir a implementação dos sistemas e atividades que constituam as melhores soluções para uma atividade agrícola de sucesso.
  Saídas Profissionais
Exercer atividade técnica e de gestão em empresas do setor agrícola e agroindustrial; técnico de explorações agrícolas; empresas de prestação de serviços e projetos na área agrícola; organismos do Estado ligados à agricultura; organismos de investigação científica e tecnológica; ensino agrícola (técnico, profissional e superior)."
Uma Saúde: Saúde Pública Humana e Animal,NOVA Medical School – Escola Médica da Universidade NOVA de Lisboa,,,,"Apresentação do curso
Mestrado em associação entre a Universidade de Évora e a NOVA Medical School da Universidade NOVA de Lisboa
O que se entende por “Uma Saúde”?
Uma Saúde é uma metodologia de trabalho que tem como finalidade a implementação de metodologias capazes de promover a colaboração entre diferentes setores, com a finalidade de promover a saúde de todos nós e do que nos rodeia (saúde pública). O conceito Uma Saúde não é novo e a prática de muitos profissionais ligados à saúde humana e animal espelhavam o conceito, um pouco por todo o mundo.
A tendência para a especialização clínica, fez com que perdêssemos o foco nas diferentes conexões que existem entre as populações humanas e animais e a influência do meio ambiente na saúde.
Atualmente, em que a mobilidade de pessoas, animais e bens é um emaranhado de rotas, distâncias, culturas e modos de produção vegetal e animal, o padrão de transmissão de agentes patogénicos é cada vez mais complexo, constituindo um dos maiores desafios da atualidade.
A solução de ter equipas de clínicos à espera da ocorrência de situações calamitosas é cada vez mais cara e inviável. A solução passa por prevenir que tal situação ocorra e isso só é possível, conhecendo, desvendando e interpretando os diferentes sinais que fazem prever o acontecimento, interrompendo a cadeia de transmissão do evento indesejado.
A Organização das Nações Unidas (ONU), através dos seus diferentes órgãos, já adotou esta metodologia de trabalho.
Contudo, a formação na área é ainda escassa.
Este mestrado foi desenhado de modo a fornecer as principais ferramentas para que o estudante possa singrar na complexidade da vigilância das doenças transmissíveis entre seres humanos e animais."
Exercício e Bem-Estar,Universidade Lusófona de Lisboa,,,,"Apresentação do Curso
Este Curso surge com o objetivo de preparar futuros profissionais de exercício , tendo como base o desenvolvimento de competências de atualização autónoma de conhecimentos, bem como de análise crítica permanente acerca das suas práticas e das práticas dos que o rodeiam. O princípio de atuação a ser trabalhado neste curso fundamenta-se numa prática profissional baseada na evidência, espelhando a atual tendência na área da saúde e bem-estar, o que permitirá uma eficaz integração em equipas multidisciplinares em contextos clínicos ou de ginásios. Para uma maior especificidade da formação foram criados duas especializações:
a) Exercício, Nutrição e Saúde, que procurará dar resposta ao trabalho mais próximo do contexto clínico, ou em estreita ligação com este mas em contextos de ginásio ou health clubs;
b) Fitness, que permitirá uma formação dirigida aos profissionais que se encontram a desenvolver a sua atividade (ou que o pretendam fazer no futuro) em contextos de ginásios e health clubs, nomeadamente na direção técnica dos mesmos.
A formação universitária tem um grande potencial para diferenciar os profissionais da área do exercício e saúde.
  Objetivos
Desenvolver as competências, conhecimentos e aptidões necessárias para o desempenho de cargos de direção técnica de ginásios (ramo Fitness) ou para a sua integração em equipas interdisciplinares em contextos clínicos (ramo exercício, nutrição e saúde), baseando a prática na evidência, com autonomia na atualização, produção e comunicação de conhecimentos, respeitando os métodos de investigação e atual estado da arte da área.
  Saídas Profissionais
Direção técnica de ginásios (ramo Fitness) ou integração em equipas interdisciplinares em contextos clínicos (ramo exercício, nutrição e saúde).
O Mestrado não dá acesso ao Título Profissional de Técnico de Exercício Físico (ex-cédula)."
Antropologia Médica e Saúde Global,,,,,"Objetivos do Curso
O Mestrado de Antropologia Médica e Saúde Global tem como principal objetivo fornecer um amplo conhecimento sobre os temas de saúde e doença, considerando-se assim, além da dimensão biológica, os fatores culturais, socioeconómicos (micro/macro), políticos e ecológicos que também influenciam as respostas das populações a problemas de saúde. Pretende-se transmitir um sólido conhecimento que forneça instrumentos que permitem melhor caracterizar os padrões de saúde nos mais diversos contextos – rurais, semiurbanos, urbanos, sociedades em desenvolvimento ou industriais – e assim melhor compreender como as mudanças da globalização têm um impacto local nas vidas e saúde de pessoas e comunidades.
  Saídas Profissionais
O Mestrado em Antropologia Médica e Saúde Global confere formação científica que permite aos alunos a prestação de serviços em Centros de Saúde, Hospitais e outras entidades no âmbito de cuidados de saúde assim como em Organizações Não Governamentais (ONG). Os alunos com esta formação poderão aplicar os princípios de conhecimento etnográfico derivado da sua aprendizagem e delinear projetos de implementação de políticas de saúde e de intervenção nas comunidades.
  Objetivos da Aprendizagem e Competências a Desenvolver
Preparar profissionais com competências para responder aos seguintes problemas na área da saúde:
Saber caracterizar o padrão de saúde em vários contextos sociais, políticos e económicos;
Saber intervir nos problemas de saúde decorrentes de migração das zonas rurais para as zonas urbanas e o consequente aparecimento de novas doenças;
Saber desenvolver estratégias para uma melhor compreensão e resolução dos efeitos da globalização na saúde das pessoas e comunidades;
Saber compreender melhor os valores culturais e crenças sobre a doença;
Saber intervir em contextos políticos das doenças infecciosas, doenças crónicas, estados de malnutrição e violência."
