master,university,Location,Duration,Tuition Fee,about
Civil Engineering - Building Construction,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year,"The Civil Engineering - Building Construction master degree is delivered by Polytechnic of Leiria. The goal is to give a specialization of professional nature, allowing a sequence of studies to the holders of the degree in civil engineering, and similar areas, enabling the improvement of the knowledge acquired that ends in developments."
Biotechnological Engineering,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year,"The degree of ""mestre"" (master) in Biotechnological Engineering at the Polytechnic Institute of Bragança belongs to the education and training area of Technologies."
"Work, Organizational and Personnel Psychology",University of Coimbra,"Coimbra, Portugal",2 years,3500 EUR / year,
Energy for Sustainability,University of Coimbra,"Coimbra, Portugal",1½ year,1600 EUR / year,"Energy for Sustainability from University of Coimbra introduces you to the challenges faced by human society today, including climate change and scarcity of energy resources, require answers of an interdisciplinary nature in the study, design, operation, and regulation of systems that generate, transport or use energy."
Electrical and Electronic Engineering,Polytechnic of Leiria,"Leiria, Portugal",2 years,697 EUR / year,"This Master Degree in Electrical and Electronic Engineering from Polytechnic of Leiria aims, primarily, to provide advanced applied knowledge in professional subjects that assume strategic importance for the country and the region. "
International Master in Applied Ecology,University of Coimbra,"Coimbra, Portugal",2 years,4500 EUR / year,"International Master in Applied Ecology from University of Coimbra aims to foster interdisciplinary training at a high academic level, within an extensively international context, and to form graduates with wide portfolios of conceptual and practical skills on different fields of applied ecology. "
Molecular Genetics,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Master Degree in Molecular Genetics at University of Minho is organized according to the principles of Bologna process, comprising two years and 120 credits (ECTS). "
Biotechnology and Innovation,Catholic University of Portugal,"Lisbon, Portugal",2 years,4590 EUR / year,This Biotechnology and Innovation master degree at Catholic University of Portugal aims to train specialists capable of acting within the various applications of biotechnology.
Deck and Bridge Operations,Nautical School Infante D. Henrique,"Paço de Arcos, Portugal",2 years,2400 EUR / year,"We offer a master degree in Deck and Bridge Operations at the Nautical School Infante D. Henrique. The management level includes 1st Class Officers, Chief Officer and Captains. Masters in Pilotage at ENIDH is essential for the training and certification of these officers."
European and Transglobal Business Law,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,"This European and Transglobal Business Law Master degree from University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas."
Economics,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year,The Master in Economics at University of Minho is designed for holders of a bachelor’s degree with a solid background in Economics and Management. 
Biophysics and Bionanosystems,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"This Biophysics and Bionanosystems Master degree at University of Minho provides basic training to carry out a course of 3rd cycle (PhD) in the same scientific area, or other areas"
Applied Gerontology,Universidade de Aveiro,"Aveiro, Portugal",1½ year,1000 EUR / year,Extend knowledge for an interdisciplinary and integrated understanding of the human aging process in its different dimensions with this master course in Applied Gerontology at Universidade de Aveiro.
Entrepreneurship and Internationalization,Polytechnic of Porto,"São Mamede de Infesta, Portugal",2 years,1400 EUR / year,"The Master in Entrepreneurship and Internationalization at the Polytechnic of Porto provides all the necessary skills and knowledge, both theoretical and pragmatic, necessary to carry out effective and successful internationalization processes in any company or organization."
Economics,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year,"The curriculum of the 2nd cycle of Economics degree at Universidade de Aveiro has evolved and today combines scientific foundations with practical and quantitative methods, offering various application possibilities that are relevant to the market, institutions, as well as for large, small, and medium-sized enterprises."
Economics of Business and Strategy,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year,"In this Economics of Business and Strategy program from University of Porto, students are provided foundations in economic theory and a powerful set of cutting-edge analytical tools, allowing them to effectively solve real business situations."
Computational Biology and Bioinformatics,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year,The Master of Science in Computational Biology and Bioinformatics from Universidade Nova de Lisboa provides a multidisciplinary training in the interface between Life Sciences and Information Technology.
Bioorganic Chemistry,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year,"The Master in Bioorganic Chemistry from Universidade Nova de Lisboa aims to train qualified professionals with specific assets in the areas of analysis, characterization and intelligent development of new drugs and biomaterials."
Biomedical Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year,"The Biomedical Engineering (EBM) programme from Instituto Superior Técnico is intended for graduates in areas related to Engineering, namely Bioengineering, and Mechanics, Electronics, Physics, Mathematics and related areas."
Law in a European and Global Context,Catholic University of Portugal,"Lisbon, Portugal",1 year,14 000 EUR / year,"The LL.M. Law in a European and Global Context at Catholic University of Portugal is a programme like no other offered in Europe. It is not simply one more programme focusing on European and International Law, our aim is to teach Law in a European and Global Context and to do so with a top international faculty and employing new methodologies and pedagogical techniques."
Football Business,Football Business Academy,Multiple locations,1 year,32 228 EUR / year,"The Football Business course Football Business Academy at is recognized by the football industry thanks to, amongst other things, our Experts – all of whom have developed successful and impactful careers in renowned football-related organizations around the world."
Environment Sciences and Technologies,University of Minho,"Braga, Portugal",2 years,1250 EUR / year,"The Environment Sciences and Technologies curriculum at University of Minho is organized into two branches of specialization, including a common part in the first semester. The branches of specialization are identified with two major areas of intervention in the Environment: ""Energy and Environmental Monitoring and Remediation"". "
Textile Chemistry,University of Minho,"Guimarães, Portugal",2 years,1250 EUR / year,"""Textile Chemistry"" at University of Minho covers areas of the textile sector that account for the highest added value: dyeing, printing and finishing. It also includes the related sector of chemical fiber production, as well as all aspects related to protection of the environment, essential for the European textile industry."
"Communication, Networks and Technology",Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,630 EUR / year,"Communication, Networks and Technology from Lusophone University of Humanities and Technologies is an innovative course bringing together several areas of knowledge and enabling the pursuit of the student's aspirations both in the professional area and in the area of academic research leading to the 3rd cycle. "
Radiation Protection and Safety,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1060 EUR / year,"MSc programme in Radiation Protection and Safety from Instituto Superior Técnico is intended for graduates in Physics, Physical Engineering, Biological Sciences (Biology, Biochemistry), Biomedical Engineering, Biological Engineering, Biotechnology, Chemistry, Chemical Engineering, Environmental Sciences, or related scientific areas."
Data Science and Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1250 EUR / year,"The M.Sc. in Data Science and Engineering at Instituto Superior Técnico is a comprehensive programme lasting 2 years. This course equips students with essential skills in data analysis and engineering, addressing the growing demand in various sectors. The programme is delivered in Portuguese, with options for English instruction for international students."
