Institution;GoogleMaps;;
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.66165+-9.206682;;
Universidade de Coimbra - Faculdade de Ciências e Tecnologia (Campus Figueira da Foz);http://maps.google.pt/maps?z=20&t=k&q=loc:40.1528+-8.858626;;
Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251;;
Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17834+-8.606863;;
Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu;http://maps.google.pt/maps?z=20&t=k&q=loc:40.64135+-7.910146;;
Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda;http://maps.google.pt/maps?z=20&t=k&q=loc:40.52968+-7.276771;;
Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.71442+-9.176041;;
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986;;
;;;
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação;http://maps.google.pt/maps?z=20&t=k&q=loc:38.73236+-9.160044;;
Universidade Católica Portuguesa - Faculdade de Filosofia e Ciências Sociais;;;
Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:40.54139+-7.28329;;
Universidade Católica Portuguesa - Instituto de Estudos Políticos;;;
ISEC Lisboa - Instituto Superior de Educação e Ciências;http://maps.google.pt/maps?z=20&t=k&q=loc:38.76894+-9.15895;;
Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6585+-27.234;;
Universidade de Coimbra - Faculdade de Farmácia;http://maps.google.pt/maps?z=20&t=k&q=loc:40.21968+-8.418132;;
Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas;http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222;;
Instituto Universitário de Ciências da Saúde - CESPU;http://maps.google.pt/maps?z=20&t=k&q=loc:41.18351+-8.445928;;
Instituto Universitário Egas Moniz;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6669+-9.200091;;
Universidade Católica Portuguesa - Faculdade de Medicina Dentária;http://maps.google.pt/maps?z=20&t=k&q=loc:40.6537+-7.9062;;
Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança;http://maps.google.pt/maps?z=20&t=k&q=loc:41.80336+-6.76559;;
Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias;http://maps.google.pt/maps?z=20&t=k&q=loc:39.82057+-7.51405;;
Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.77607+-9.097442;;
Universidade do Algarve - Escola Superior de Saúde;http://maps.google.pt/maps?z=20&t=k&q=loc:37.04394+-7.972298;;
Escola Superior de Saúde Egas Moniz;http://maps.google.pt/maps?z=20&t=k&q=loc:38.6669+-9.200091;;
Escola Superior de Saúde da Fundação «Fernando Pessoa»;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17316+-8.608274;;
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano;http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306;;
Escola Universitária Vasco da Gama;http://maps.google.pt/maps?z=20&t=k&q=loc:40.23515+-8.415624;;
Universidade do Algarve - Escola Superior de Educação e Comunicação;http://maps.google.pt/maps?z=20&t=k&q=loc:37.02903+-7.922722;;
Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física;http://maps.google.pt/maps?z=20&t=k&q=loc:40.20711+-8.436049;;
Universidade de Lisboa - Faculdade de Motricidade Humana;http://maps.google.pt/maps?z=20&t=k&q=loc:38.70524+-9.25235;;
Universidade do Porto - Faculdade de Desporto;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17864+-8.600067;;
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:40.21036+-8.427611;;
Universidade de Évora - Escola de Ciências Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:38.57381+-7.906329;;
Universidade da Madeira - Faculdade de Ciências Sociais;http://maps.google.pt/maps?z=20&t=k&q=loc:32.65928+-16.9251;;
Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação;http://maps.google.pt/maps?z=20&t=k&q=loc:41.17554+-8.604519;;
Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão;http://maps.google.pt/maps?z=20&t=k&q=loc:41.36677+-8.194765;;
Universidade de Lisboa - Faculdade de Farmácia;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74955+-9.157356;;
Universidade do Porto - Faculdade de Farmácia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.14777+-8.624307;;
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;http://maps.google.pt/maps?z=20&t=k&q=loc:41.14777+-8.624307;;
 especialidade de Administração Aeronáutica;detcursopi.asp?codc=L206&code=7712;;
 Especialidade de Engenharia;detcursopi.asp?codc=L219&code=7712;;
 especialidade de Piloto Aviador;detcursopi.asp?codc=L289&code=7712;;
 ramo de Administração Naval;detcursopi.asp?codc=L201&code=7710;;
 ramo de Engenharia Naval;detcursopi.asp?codc=L216&code=7710;;
 ramo de Marinha e Fuzileiros;detcursopi.asp?codc=L325&code=7710;;
 no Ramo de Administração;detcursopi.asp?codc=L195&code=7711;;
 ramo Exército;detcursopi.asp?codc=L323&code=7711;;
 ramo Segurança;detcursopi.asp?codc=L324&code=7711;;
Universidade de Lisboa - Faculdade de Medicina;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74874+-9.160639;;
Universidade Nova de Lisboa - Faculdade de Ciências Médicas;http://maps.google.pt/maps?z=20&t=k&q=loc:38.72019+-9.139704;;
Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação;http://maps.google.pt/maps?z=20&t=k&q=loc:41.15291+-8.638251;;
Atlântica - Instituto Universitário;http://maps.google.pt/maps?z=20&t=k&q=loc:38.74141+-9.284575;;
Instituto Superior de Ciências Policiais e Segurança Interna;http://maps.google.pt/maps?z=20&t=k&q=loc:38.70389+-9.178889;;
Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Viseu;http://maps.google.pt/maps?z=20&t=k&q=loc:40.64449+-7.921137;;
Instituto Politécnico de Lisboa - Escola Superior de Teatro e Cinema;http://maps.google.pt/maps?z=20&t=k&q=loc:37.76357+-9.235246;;
Instituto Politécnico do Porto - Escola Superior de Media Artes e Design;http://maps.google.pt/maps?z=20&t=k&q=loc:41.36633+-8.739719;;
Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes;http://maps.google.pt/maps?z=20&t=k&q=loc:39.46782+-8.207817;;
Instituto Superior de Ciências Empresariais e do Turismo;http://maps.google.pt/maps?z=20&t=k&q=loc:41.152+-8.617905;;
Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa;http://maps.google.pt/maps?z=20&t=k&q=loc:38.73717+-9.146786;;
ISLA - Instituto Politécnico de Gestão e Tecnologia - Escola Superior de Tecnologia;http://maps.google.pt/maps?z=20&t=k&q=loc:41.12411+-8.614039;;
Instituto Superior Miguel Torga;http://maps.google.pt/maps?z=20&t=k&q=loc:40.21349+-8.41318;;
