Master Name,University,Location,Duration,Tuition Fee
Information Security and Cyberspace Law,Instituto Superior Técnico,"Lisbon, Portugal",2 years,2500 EUR / year
Integrated Building Design and Construction,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
African Studies,University of Porto,"Porto, Portugal",2 years,1250 EUR / year
Electrical and Computer Engineering,Polytechnic of Porto,"Porto, Portugal",2 years,950 EUR / year
Biotechnology,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Bioenergy and Sustainable Technologies,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1500 EUR / year
Biological Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
Intercultural Studies for Business,Polytechnic of Porto,"São Mamede de Infesta, Portugal",2 years,1500 EUR / year
Data Analytics,School of Economics and Management - University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Psychology of Intercultural Relations,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,2500 EUR / year
Mathematics and Applications,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2000 EUR / year
Advanced Materials Innovative Recycling,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,2000 EUR / year
Advanced Mineral Resources Development,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1063 EUR / year
Law,Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,758 EUR / year
Finance,University of Minho,"Braga, Portugal",1½ year,1250 EUR / year
Sustainable Energy Systems,Universidade de Aveiro,"Aveiro, Portugal",2 years,1000 EUR / year
Microbiology,Instituto Superior Técnico,"Lisbon, Portugal",2 years,1063 EUR / year
Telecommunications and Informatics Engineering,Instituto Superior Técnico,"Lisbon, Portugal",2 years,825 EUR / year
International Business Law,Catholic University of Portugal,"Lisbon, Portugal",1 year,14 000 EUR / year
Hotel Management - Health and Wellness Industry (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
Education Sciences,Lusophone University of Humanities and Technologies,"Lisbon, Portugal",2 years,630 EUR / year
Digital Marketing (Evening courses) (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
Tourism Management (Evening Classes),Polytechnic of Porto,"Porto, Portugal",2 years,1250 EUR / year
Hospitality and Tourism Management,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year
"Health Biochemistry, Specialization in Biotecnology",Polytechnic of Porto,"Porto, Portugal",2 years,3500 EUR / year
Industrial Engineering and Management,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Electrical and Computer Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Micro and Nanotechnology Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Marketing,ISCTE - University Institute of Lisbon,"Lisbon, Portugal",2 years,5250 EUR / year
Cultural Management,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Physical Activity and Sports,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Chemical and Biological Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Civil Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Mechanical Engineering,University of Porto,"Porto, Portugal",2 years,1500 EUR / year
Management - Strategic Marketing,Catholic University of Portugal,"Lisbon, Portugal",1½ year,9800 EUR / year
Biomedical Engineering,Universidade Nova de Lisboa,"Lisbon, Portugal",2 years,1250 EUR / year
Building Rehabilitation,Universidade Nova de Lisboa,"Lisbon, Portugal",1½ year,1500 EUR / year
Monetary and Financial Economics,University of Lisbon,"Lisbon, Portugal",2 years,3750 EUR / year
Finance,University of Lisbon,"Lisbon, Portugal",2 years,5900 EUR / year
Teaching Physical Education in Primary and Secondary Education,University of Madeira,"Funchal, Portugal",2 years,2000 EUR / year
Data Analytics for Business,University of Lisbon,"Lisbon, Portugal",1½ year,4850 EUR / year
Management Information Systems,University of Lisbon,"Lisbon, Portugal",2 years,3900 EUR / year
International Business,Porto Business School,"Senhora da Hora, Portugal",1 year,7500 EUR / year
History and Philosophy of Science,University of Lisbon,"Lisbon, Portugal",2 years,1200 EUR / year
Culture Studies,Catholic University of Portugal,"Lisbon, Portugal",2 years,540 EUR / module
Management,Polytechnic Institute of Bragança,"Bragança, Portugal",2 years,1441 EUR / year
Economics,University of Lisbon,"Lisbon, Portugal",2 years,3750 EUR / year
