Course,Institution,Link,GoogleMaps
Artes Visuais,Universidade do Minho,detcursopi.asp?codc=9817&code=1000,http://maps.google.pt/maps?z=20&t=k&q=loc:41.33284+-8.253481
Artes Visuais - Fotografia,Escola Superior Artística do Porto,detcursopi.asp?codc=9683&code=4010,
Artes Visuais e Tecnologias,Instituto Politécnico de Lisboa - Escola Superior de Educação,detcursopi.asp?codc=8307&code=3112,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74616+-9.195106
Artes Visuais e Tecnologias Artísticas,Instituto Politécnico do Porto - Escola Superior de Educação,detcursopi.asp?codc=8264&code=3131,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1799+-8.598137
Assessoria de Direção,Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra,detcursopi.asp?codc=8276&code=3063,http://maps.google.pt/maps?z=20&t=k&q=loc:42.12346+-8.27082
Assessoria e Tradução,Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto,detcursopi.asp?codc=9009&code=3134,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18986+-8.598206
Assessoria e Tradução (regime pós-laboral),Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto,detcursopi.asp?codc=9829&code=3134,http://maps.google.pt/maps?z=20&t=k&q=loc:41.18986+-8.598206
Atividade Física e Estilos de Vida Saudáveis,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,detcursopi.asp?codc=L008&code=3145,http://maps.google.pt/maps?z=20&t=k&q=loc:39.345+-8.933
Atividade Física e Estilos de Vida Saudáveis,Instituto Superior de Ciências Educativas do Douro,detcursopi.asp?codc=L008&code=4271,http://maps.google.pt/maps?z=20&t=k&q=loc:41.12039+-8.172403
Audiologia,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra,detcursopi.asp?codc=8141&code=7210,http://maps.google.pt/maps?z=20&t=k&q=loc:40.19915+-8.461344
Audiologia,Instituto Politécnico do Porto - Escola Superior de Saúde,detcursopi.asp?codc=8141&code=7230,http://maps.google.pt/maps?z=20&t=k&q=loc:41.17779+-8.60693
Audiovisual e Multimédia,Instituto Politécnico de Beja - Escola Superior de Educação,detcursopi.asp?codc=9010&code=3022,http://maps.google.pt/maps?z=20&t=k&q=loc:38.01385+-7.874671
Audiovisual e Multimédia,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social,detcursopi.asp?codc=9010&code=3113,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74665+-9.19476
Automação e Sistemas Informáticos,Instituto Politécnico da Lusofonia - Escola Superior de Engenharia e Tecnologias,detcursopi.asp?codc=L332&code=4613,http://maps.google.pt/maps?z=20&t=k&q=loc:38.74674+-9.100184
Automação e Sistemas de Produção,"Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia da Produção de Aveiro-Norte",detcursopi.asp?codc=L299&code=3014,http://maps.google.pt/maps?z=20&t=k&q=loc:40.86214+-8.476327
Banda Desenhada e Narrativas Gráficas,Escola Superior Artística do Porto,detcursopi.asp?codc=L356&code=4010,
Bioengenharia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9540&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Bioengenharia,Universidade do Porto - Faculdade de Engenharia,detcursopi.asp?codc=9540&code=1105,http://maps.google.pt/maps?z=20&t=k&q=loc:41.1781+-8.598157
Bioengenharia,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,detcursopi.asp?codc=9540&code=1204,http://maps.google.pt/maps?z=20&t=k&q=loc:41.28739+-7.738986
Bioengenharia,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,detcursopi.asp?codc=9540&code=3064,http://maps.google.pt/maps?z=20&t=k&q=loc:40.1929+-8.412338
Bioengenharia,Universidade Católica Portuguesa - Escola Superior de Biotecnologia,detcursopi.asp?codc=9540&code=2210,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15398+-8.673013
Bioinformática,Universidade do Porto - Faculdade de Ciências,detcursopi.asp?codc=9687&code=1103,http://maps.google.pt/maps?z=20&t=k&q=loc:41.15242+-8.637816
Bioinformática,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,detcursopi.asp?codc=9687&code=3154,http://maps.google.pt/maps?z=20&t=k&q=loc:38.65239+-9.04896
Biologia,Universidade dos Açores - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9011&code=0160,http://maps.google.pt/maps?z=20&t=k&q=loc:37.74605+-25.66378
Biologia,Universidade do Algarve - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9011&code=0203,http://maps.google.pt/maps?z=20&t=k&q=loc:37.04408+-7.972222
Biologia,Universidade de Aveiro,detcursopi.asp?codc=9011&code=0300,http://maps.google.pt/maps?z=20&t=k&q=loc:40.63118+-8.657394
Biologia,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,detcursopi.asp?codc=9011&code=0501,http://maps.google.pt/maps?z=20&t=k&q=loc:40.18623+-8.412266
Biologia,Universidade de Évora - Escola de Ciências e Tecnologia,detcursopi.asp?codc=9011&code=0602,http://maps.google.pt/maps?z=20&t=k&q=loc:38.56832+-7.910306
Biologia,Universidade de Lisboa - Faculdade de Ciências,detcursopi.asp?codc=9011&code=1503,http://maps.google.pt/maps?z=20&t=k&q=loc:38.75676+-9.155387
